Current infected count,Newly infected count,Newly Susceptible,Total Immune
1,0,0,1424
36,36,1,1424
42,22,16,1424
56,28,14,1424
72,48,32,1424
103,60,29,1424
139,87,51,1424
187,122,74,1424
261,161,87,1424
340,205,126,1424
423,257,174,1424
587,373,209,1424
764,460,283,1424
938,541,367,1424
1202,697,433,1424
1445,851,608,1424
1723,1032,754,1424
1992,1111,842,1424
2306,1323,1009,1424
2611,1446,1141,1424
2946,1620,1285,1424
3186,1694,1454,1424
3407,1783,1562,1424
3593,1906,1720,1424
3817,2009,1785,1424
3957,1964,1824,1424
3932,1993,2018,1424
4021,2022,1933,1424
4125,2073,1969,1424
4095,2016,2046,1424
4169,2082,2008,1424
4136,2067,2100,1424
4220,2168,2084,1424
4182,2102,2140,1424
4191,2080,2071,1424
4280,2151,2062,1424
4290,2137,2127,1424
4314,2166,2142,1424
4357,2173,2130,1424
4387,2163,2133,1424
4388,2180,2179,1424
4286,2107,2209,1424
4319,2144,2111,1424
4286,2168,2201,1424
4302,2207,2191,1424
4321,2188,2169,1424
4336,2178,2163,1424
4273,2152,2215,1424
4305,2175,2143,1424
4292,2158,2171,1424
4330,2197,2159,1424
4412,2214,2132,1424
4344,2150,2218,1424
4266,2158,2236,1424
4342,2206,2130,1424
4329,2210,2223,1424
4378,2200,2151,1424
4412,2188,2154,1424
4248,2159,2323,1424
4279,2190,2159,1424
4439,2260,2100,1424
4362,2141,2218,1424
4391,2219,2190,1424
4373,2193,2211,1424
4346,2153,2180,1424
4340,2178,2184,1424
4322,2174,2192,1424
4426,2252,2148,1424
4399,2135,2162,1424
4426,2232,2205,1424
4390,2163,2199,1424
4241,2141,2290,1424
4313,2219,2147,1424
4376,2203,2140,1424
4272,2132,2236,1424
4391,2232,2113,1424
4260,2125,2256,1424
4368,2270,2162,1424
4373,2212,2207,1424
4323,2138,2188,1424
4378,2194,2139,1424
4417,2199,2160,1424
4368,2205,2254,1424
4350,2137,2155,1424
4340,2220,2230,1424
4370,2163,2133,1424
4353,2116,2133,1424
4322,2177,2208,1424
4321,2181,2182,1424
4382,2183,2122,1424
4367,2170,2185,1424
4328,2164,2203,1424
4310,2163,2181,1424
4257,2113,2166,1424
4379,2254,2132,1424
4311,2130,2198,1424
4311,2122,2122,1424
4383,2220,2148,1424
4352,2174,2205,1424
4405,2200,2147,1424
4457,2202,2150,1424
4388,2181,2250,1424
4351,2195,2232,1424
4419,2202,2134,1424
4432,2248,2235,1424
4431,2187,2188,1424
4437,2231,2225,1424
4392,2184,2229,1424
4447,2190,2135,1424
4406,2206,2247,1424
4411,2185,2180,1424
4452,2211,2170,1424
4425,2169,2196,1424
4358,2169,2236,1424
4335,2179,2202,1424
4366,2179,2148,1424
4372,2216,2210,1424
4397,2204,2179,1424
4287,2107,2217,1424
4344,2202,2145,1424
4357,2127,2114,1424
4374,2172,2155,1424
4376,2163,2161,1424
4340,2161,2197,1424
4287,2175,2228,1424
4320,2166,2133,1424
4389,2223,2154,1424
4422,2186,2153,1424
4379,2159,2202,1424
4359,2155,2175,1424
4284,2121,2196,1424
4354,2201,2131,1424
4332,2137,2159,1424
4314,2212,2230,1424
4306,2094,2102,1424
4390,2204,2120,1424
4314,2119,2195,1424
4346,2114,2082,1424
4304,2134,2176,1424
4344,2155,2115,1424
4285,2149,2208,1424
4338,2122,2069,1424
4337,2182,2183,1424
4361,2181,2157,1424
4325,2197,2233,1424
4325,2196,2196,1424
4350,2180,2155,1424
4299,2147,2198,1424
4349,2184,2134,1424
4403,2219,2165,1424
4376,2108,2135,1424
4351,2165,2190,1424
4328,2164,2187,1424
4430,2234,2132,1424
4340,2159,2249,1424
4298,2153,2195,1424
4358,2208,2148,1424
4385,2174,2147,1424
4388,2187,2184,1424
4386,2192,2194,1424
4328,2185,2243,1424
4410,2193,2111,1424
4401,2147,2156,1424
4384,2172,2189,1424
4363,2160,2181,1424
4298,2138,2203,1424
4407,2271,2162,1424
4400,2182,2189,1424
4330,2206,2276,1424
4285,2155,2200,1424
4384,2224,2125,1424
4415,2210,2179,1424
4343,2149,2221,1424
4305,2204,2242,1424
4375,2199,2129,1424
4413,2209,2171,1424
4342,2143,2214,1424
4363,2162,2141,1424
4324,2156,2195,1424
4280,2176,2220,1424
4273,2129,2136,1424
