Current infected count,Newly infected count,Newly Susceptible,Total Immune
1,0,0,1424
101,100,0,1424
331,282,52,1424
781,624,174,1424
1566,1204,419,1424
2776,1997,787,1424
4079,2649,1346,1424
5190,3115,2004,1424
5736,3128,2582,1424
6103,3244,2877,1424
6165,3165,3103,1424
6273,3217,3109,1424
6329,3183,3127,1424
6294,3119,3154,1424
6414,3275,3155,1424
6309,3069,3174,1424
6382,3243,3170,1424
6341,3145,3186,1424
6306,3160,3195,1424
6311,3175,3170,1424
6354,3194,3151,1424
6252,3116,3218,1424
6361,3231,3122,1424
6315,3148,3194,1424
6402,3211,3124,1424
6364,3144,3182,1424
6350,3176,3190,1424
6228,3080,3202,1424
6234,3156,3150,1424
6330,3209,3113,1424
6393,3236,3173,1424
6361,3148,3180,1424
6326,3099,3134,1424
6329,3209,3206,1424
6266,3103,3166,1424
6410,3257,3113,1424
6336,3197,3271,1424
6381,3123,3078,1424
6292,3146,3235,1424
6286,3172,3178,1424
6364,3205,3127,1424
6305,3113,3172,1424
6453,3178,3030,1424
6318,3101,3236,1424
6347,3218,3189,1424
6280,3152,3219,1424
6342,3180,3118,1424
6338,3179,3183,1424
6351,3159,3146,1424
6305,3109,3155,1424
6335,3220,3190,1424
6372,3183,3146,1424
6345,3192,3219,1424
6282,3085,3148,1424
6326,3201,3157,1424
6344,3191,3173,1424
6374,3186,3156,1424
6297,3119,3196,1424
6286,3155,3166,1424
6281,3205,3210,1424
6308,3162,3135,1424
6397,3182,3093,1424
6251,3109,3255,1424
6253,3206,3204,1424
6311,3155,3097,1424
6409,3208,3110,1424
6364,3089,3134,1424
6315,3113,3162,1424
6396,3217,3136,1424
6319,3139,3216,1424
6375,3196,3140,1424
6186,3105,3294,1424
6267,3187,3106,1424
6340,3234,3161,1424
6340,3148,3148,1424
6298,3152,3194,1424
6359,3123,3062,1424
6302,3148,3205,1424
6296,3106,3112,1424
6297,3169,3168,1424
6274,3115,3138,1424
6370,3138,3042,1424
6251,3055,3174,1424
6379,3241,3113,1424
6288,3115,3206,1424
6299,3123,3112,1424
6280,3125,3144,1424
6375,3217,3122,1424
6334,3127,3168,1424
6406,3220,3148,1424
6316,3133,3223,1424
6258,3140,3198,1424
6394,3221,3085,1424
6374,3148,3168,1424
6294,3145,3225,1424
6333,3219,3180,1424
6229,3108,3212,1424
6274,3169,3124,1424
6188,3077,3163,1424
6277,3178,3089,1424
6326,3159,3110,1424
6373,3185,3138,1424
6381,3124,3116,1424
6265,3089,3205,1424
6301,3154,3118,1424
6345,3192,3148,1424
6222,3091,3214,1424
6340,3253,3135,1424
6240,3032,3132,1424
6314,3221,3147,1424
6276,3179,3217,1424
6340,3178,3114,1424
6289,3183,3234,1424
6314,3175,3150,1424
6270,3111,3155,1424
6267,3171,3174,1424
6285,3223,3205,1424
6269,3143,3159,1424
6318,3178,3129,1424
6355,3156,3119,1424
6284,3112,3183,1424
6438,3181,3027,1424
6353,3145,3230,1424
6318,3152,3187,1424
6384,3173,3107,1424
6311,3113,3186,1424
6255,3192,3248,1424
6382,3252,3125,1424
6223,3055,3214,1424
6375,3249,3097,1424
6382,3163,3156,1424
6320,3117,3179,1424
6206,3059,3173,1424
6369,3262,3099,1424
6290,3106,3185,1424
6408,3223,3105,1424
6327,3160,3241,1424
6326,3170,3171,1424
6257,3114,3183,1424
6357,3185,3085,1424
6224,3131,3264,1424
6377,3223,3070,1424
6396,3178,3159,1424
6334,3171,3233,1424
6314,3194,3214,1424
6362,3195,3147,1424
6370,3170,3162,1424
6194,3029,3205,1424
6419,3334,3109,1424
6303,3105,3221,1424
6383,3227,3147,1424
6333,3162,3212,1424
6303,3135,3165,1424
6377,3198,3124,1424
6305,3098,3170,1424
6247,3138,3196,1424
6236,3151,3162,1424
6260,3131,3107,1424
6321,3185,3124,1424
6359,3221,3183,1424
6339,3170,3190,1424
6438,3222,3123,1424
6291,3122,3269,1424
6196,3095,3190,1424
6320,3167,3043,1424
6183,3114,3251,1424
6213,3195,3165,1424
6211,3138,3140,1424
6355,3257,3113,1424
6233,3077,3199,1424
6337,3184,3080,1424
6302,3123,3158,1424
6325,3165,3142,1424
6336,3144,3133,1424
6226,3062,3172,1424
6260,3188,3154,1424
6246,3114,3128,1424
6340,3195,3101,1424
6287,3140,3193,1424
6264,3158,3181,1424
6367,3177,3074,1424
