Current infected count,Newly infected count,Recovered,Total Immune Count
1,0,0,1424
6,5,0,1424
27,23,2,1426
43,30,14,1440
87,60,16,1456
173,124,38,1494
343,265,95,1589
856,678,165,1754
1589,1199,466,2220
2427,1627,789,3009
2989,1807,1245,4254
3056,1516,1449,5703
2596,1074,1534,7237
1942,634,1288,8525
1364,372,950,9475
867,203,700,10175
537,100,430,10605
334,61,264,10869
183,26,177,11046
112,12,83,11129
62,7,57,11186
33,2,31,11217
15,0,18,11235
9,0,6,11241
4,1,6,11247
4,0,0,11247
1,0,3,11250
1,1,1,11251
0,0,1,11252
