Current infected count,Newly infected count,Newly Susceptible,Total Immune
1,0,0,1424
49,48,0,1424
85,56,20,1424
87,48,46,1424
103,64,48,1424
127,73,49,1424
144,81,64,1424
179,107,72,1424
201,109,87,1424
226,118,93,1424
225,122,123,1424
254,141,112,1424
288,164,130,1424
309,184,163,1424
356,206,159,1424
398,218,176,1424
445,242,195,1424
478,257,224,1424
544,295,229,1424
587,323,280,1424
656,355,286,1424
718,403,341,1424
791,436,363,1424
866,479,404,1424
958,523,431,1424
1038,542,462,1424
1102,578,514,1424
1143,603,562,1424
1273,708,578,1424
1386,728,615,1424
1482,772,676,1424
1572,837,747,1424
1695,897,774,1424
1721,893,867,1424
1803,968,886,1424
1888,995,910,1424
1966,1055,977,1424
2107,1109,968,1424
2205,1156,1058,1424
2240,1167,1132,1424
2280,1185,1145,1424
2329,1206,1157,1424
2371,1247,1205,1424
2439,1241,1173,1424
2510,1287,1216,1424
2543,1308,1275,1424
2637,1342,1248,1424
2672,1355,1320,1424
2708,1375,1339,1424
2756,1395,1347,1424
2703,1371,1424,1424
2746,1408,1365,1424
2767,1427,1406,1424
2931,1492,1328,1424
2997,1512,1446,1424
3073,1505,1429,1424
3009,1505,1569,1424
3027,1561,1543,1424
3075,1566,1518,1424
3083,1554,1546,1424
3059,1522,1546,1424
3052,1519,1526,1424
3103,1538,1487,1424
3122,1544,1525,1424
3023,1525,1624,1424
3131,1590,1482,1424
3245,1616,1502,1424
3202,1549,1592,1424
3184,1550,1568,1424
3112,1554,1626,1424
3187,1613,1538,1424
3197,1610,1600,1424
3165,1602,1634,1424
3198,1585,1552,1424
3252,1634,1580,1424
3245,1637,1644,1424
3256,1639,1628,1424
3268,1624,1612,1424
3206,1653,1715,1424
3265,1649,1590,1424
3221,1613,1657,1424
3235,1634,1620,1424
3331,1611,1515,1424
3214,1595,1712,1424
3200,1618,1632,1424
3222,1628,1606,1424
3217,1616,1621,1424
3248,1640,1609,1424
3348,1719,1619,1424
3315,1661,1694,1424
3341,1706,1680,1424
3372,1718,1687,1424
3332,1650,1690,1424
3421,1659,1570,1424
3342,1636,1715,1424
3278,1647,1711,1424
3196,1621,1703,1424
3217,1623,1602,1424
3177,1605,1645,1424
3225,1640,1592,1424
3191,1597,1631,1424
3346,1703,1548,1424
3366,1680,1660,1424
3317,1636,1685,1424
3327,1651,1641,1424
3293,1659,1693,1424
3322,1708,1679,1424
3349,1656,1629,1424
3304,1634,1679,1424
3325,1680,1659,1424
3328,1643,1640,1424
3313,1641,1656,1424
3323,1668,1658,1424
3388,1683,1618,1424
3369,1658,1677,1424
3362,1670,1677,1424
3379,1659,1642,1424
3382,1644,1641,1424
3410,1690,1662,1424
3374,1634,1670,1424
3318,1661,1717,1424
3393,1679,1604,1424
3333,1629,1689,1424
3330,1689,1692,1424
3323,1658,1665,1424
3213,1601,1711,1424
3204,1633,1642,1424
3285,1700,1619,1424
3269,1648,1664,1424
3326,1711,1654,1424
3332,1643,1637,1424
3327,1631,1636,1424
3276,1614,1665,1424
3232,1587,1631,1424
3283,1643,1592,1424
3254,1612,1641,1424
3302,1642,1594,1424
3327,1686,1661,1424
3264,1614,1677,1424
3212,1613,1665,1424
3169,1593,1636,1424
3268,1635,1536,1424
3281,1619,1606,1424
3259,1637,1659,1424
3285,1644,1618,1424
3268,1648,1665,1424
3321,1655,1602,1424
3283,1605,1643,1424
3207,1585,1661,1424
3142,1582,1647,1424
3251,1640,1531,1424
3284,1656,1623,1424
3258,1625,1651,1424
3225,1620,1653,1424
3258,1605,1572,1424
3241,1640,1657,1424
3262,1641,1620,1424
3295,1654,1621,1424
3260,1607,1642,1424
3278,1661,1643,1424
3268,1658,1668,1424
3268,1637,1637,1424
3280,1647,1635,1424
3237,1592,1635,1424
3288,1661,1610,1424
3292,1677,1673,1424
3343,1680,1629,1424
3300,1658,1701,1424
3308,1660,1652,1424
3292,1648,1664,1424
3350,1690,1632,1424
3291,1648,1707,1424
3293,1621,1619,1424
3215,1561,1639,1424
3243,1650,1622,1424
3350,1660,1553,1424
3278,1611,1683,1424
3333,1649,1594,1424
3254,1609,1688,1424
3245,1597,1606,1424
3342,1687,1590,1424
