Current infected count,Newly infected count,Newly Susceptible,Total Immune
1,0,0,0
57,56,0,0
359,333,31,0
1261,1082,180,0
3586,2957,632,0
6171,4415,1830,0
7712,4625,3084,0
8081,4230,3861,0
8172,4068,3977,0
8008,3957,4121,0
8026,4027,4009,0
8034,4031,4023,0
8143,4097,3988,0
8105,4047,4085,0
8118,4080,4067,0
8109,3960,3969,0
8055,4011,4065,0
8018,4018,4055,0
8159,4143,4002,0
7990,3908,4077,0
7992,4046,4044,0
8135,4143,4000,0
8045,3957,4047,0
8103,4071,4013,0
8070,4039,4072,0
8056,4018,4032,0
8038,4012,4030,0
8162,4105,3981,0
7981,3918,4099,0
8025,4084,4040,0
8115,4054,3964,0
8100,4057,4072,0
8118,4081,4063,0
8091,4019,4046,0
8062,4098,4127,0
8013,4009,4058,0
8049,4015,3979,0
8125,4068,3992,0
8132,4017,4010,0
8085,3956,4003,0
7986,4004,4103,0
7977,4081,4090,0
8147,4084,3914,0
8011,4000,4136,0
8112,4106,4005,0
8104,4020,4028,0
8077,4020,4047,0
8037,4014,4054,0
7993,3998,4042,0
8192,4141,3942,0
8044,3930,4078,0
8145,4112,4011,0
8089,3998,4054,0
8053,4032,4068,0
8047,4065,4071,0
7992,3991,4046,0
8133,4115,3974,0
8117,4015,4031,0
8150,4064,4031,0
8183,4094,4061,0
8065,4004,4122,0
8073,4007,3999,0
8089,4033,4017,0
8150,4197,4136,0
8046,3941,4045,0
8069,4092,4069,0
8077,4023,4015,0
8081,4009,4005,0
8022,4033,4092,0
7968,4044,4098,0
8115,4125,3978,0
8060,4017,4072,0
8135,4058,3983,0
8137,4030,4028,0
8215,4121,4043,0
8019,3949,4145,0
8133,4114,4000,0
8087,4015,4061,0
8011,4050,4126,0
8120,4040,3931,0
8133,4043,4030,0
8009,3982,4106,0
8047,4074,4036,0
7988,4003,4062,0
8118,4134,4004,0
8109,4036,4045,0
7966,3989,4132,0
8051,4095,4010,0
8168,4064,3947,0
8053,3952,4067,0
8097,4089,4045,0
8026,4038,4109,0
8182,4052,3896,0
8023,3986,4145,0
8047,4053,4029,0
8081,4082,4048,0
8049,3926,3958,0
8129,4163,4083,0
8003,3989,4115,0
8087,4121,4037,0
8103,4023,4007,0
7986,3988,4105,0
8039,4065,4012,0
8071,4090,4058,0
8088,4050,4033,0
8066,4041,4063,0
8066,4023,4023,0
8144,4135,4057,0
8055,4011,4100,0
8058,4046,4043,0
8139,4100,4019,0
7990,3985,4134,0
7972,3975,3993,0
8067,4101,4006,0
8016,3966,4017,0
8058,4067,4025,0
8183,4111,3986,0
8055,4009,4137,0
8145,4066,3976,0
8045,4006,4106,0
8119,4124,4050,0
8059,3993,4053,0
8120,4129,4068,0
7990,3969,4099,0
8135,4144,3999,0
7998,3950,4087,0
7992,4005,4011,0
8050,4129,4071,0
8127,4002,3925,0
8092,3995,4030,0
8046,3996,4042,0
8061,4056,4041,0
8045,4053,4069,0
8103,4041,3983,0
8102,4032,4033,0
8037,4004,4069,0
8270,4161,3928,0
8119,3943,4094,0
8005,3931,4045,0
8076,4087,4016,0
8097,4041,4020,0
8017,3995,4075,0
7982,4063,4098,0
8095,4072,3959,0
8110,4052,4037,0
8104,4042,4048,0
8063,4041,4082,0
8092,4014,3985,0
8076,4065,4081,0
7950,3965,4091,0
8056,4087,3981,0
7997,3965,4024,0
8095,4136,4038,0
8022,4044,4117,0
8129,4111,4004,0
8064,3967,4032,0
8065,3988,3987,0
7989,4009,4085,0
8040,4067,4016,0
8162,4090,3968,0
8046,3997,4113,0
8009,4043,4080,0
8068,4093,4034,0
8225,4188,4031,0
8008,3930,4147,0
8026,4087,4069,0
8198,4120,3948,0
8076,3949,4071,0
8022,4061,4115,0
8117,4046,3951,0
8128,4061,4050,0
8002,3973,4099,0
8157,4127,3972,0
8139,3977,3995,0
8104,4040,4075,0
8133,3974,3945,0
8046,4050,4137,0
7998,4000,4048,0
8148,4120,3970,0
8064,4054,4138,0
8033,3925,3956,0
