Current infected count,Newly infected count,Newly Susceptible,Total Immune
1,0,0,1424
92,91,0,1424
655,609,46,1424
2321,1992,326,1424
4976,3808,1153,1424
7147,4674,2503,1424
7979,4324,3492,1424
8126,4115,3968,1424
7999,3995,4122,1424
8174,4107,3932,1424
8049,3984,4109,1424
8063,4031,4017,1424
8085,4013,3991,1424
8027,4034,4092,1424
8119,4085,3993,1424
8092,3983,4010,1424
8015,4005,4082,1424
8095,4013,3933,1424
8139,4021,3977,1424
8029,3924,4034,1424
8092,4091,4028,1424
8076,4017,4033,1424
8205,4071,3942,1424
8057,3936,4084,1424
8002,3996,4051,1424
8029,4091,4064,1424
8079,4010,3960,1424
8081,4012,4010,1424
8133,4020,3968,1424
8060,4034,4107,1424
7997,3992,4055,1424
8205,4136,3928,1424
8152,4002,4055,1424
8104,4037,4085,1424
8033,3956,4027,1424
8169,4137,4001,1424
8019,3937,4087,1424
8033,4032,4018,1424
8110,4074,3997,1424
8086,4056,4080,1424
7953,3932,4065,1424
8118,4056,3891,1424
8101,4029,4046,1424
7980,3978,4099,1424
8109,4107,3978,1424
8112,4076,4073,1424
8057,3997,4052,1424
8222,4161,3996,1424
8101,3886,4007,1424
8020,4031,4112,1424
8013,4006,4013,1424
8173,4132,3972,1424
7976,3948,4145,1424
8160,4120,3936,1424
8094,3986,4052,1424
8051,4007,4050,1424
7954,3941,4038,1424
8066,4076,3964,1424
8075,4016,4007,1424
8141,4016,3950,1424
8088,3981,4034,1424
8113,4090,4065,1424
8046,3993,4060,1424
8162,4109,3993,1424
8015,3981,4128,1424
8138,4092,3969,1424
7999,3942,4081,1424
8081,4069,3987,1424
7921,3923,4083,1424
8079,4134,3976,1424
8122,4057,4014,1424
8162,4090,4050,1424
8105,4020,4077,1424
8051,4028,4082,1424
8081,4055,4025,1424
8068,4026,4039,1424
8187,4169,4050,1424
8028,3948,4107,1424
8160,4105,3973,1424
7996,3912,4076,1424
8074,4078,4000,1424
8157,4062,3979,1424
8136,4017,4038,1424
8062,3994,4068,1424
8090,4078,4050,1424
8214,4135,4011,1424
8165,3965,4014,1424
8080,4027,4112,1424
8077,4077,4080,1424
8115,4075,4037,1424
7943,3950,4122,1424
8089,4072,3926,1424
8080,4027,4036,1424
8037,4020,4063,1424
7979,3978,4036,1424
8211,4163,3931,1424
8133,3929,4007,1424
8128,4052,4057,1424
8076,3983,4035,1424
8050,4082,4108,1424
8114,4053,3989,1424
8107,4063,4070,1424
8083,3966,3990,1424
8016,4043,4110,1424
8034,4036,4018,1424
8029,4054,4059,1424
8002,4053,4080,1424
8182,4100,3920,1424
8192,4036,4026,1424
8092,4007,4107,1424
8042,3970,4020,1424
8098,4091,4035,1424
8073,4027,4052,1424
8123,4026,3976,1424
8112,4051,4062,1424
8129,4060,4043,1424
8019,3965,4075,1424
8126,4038,3931,1424
8055,4022,4093,1424
7963,3961,4053,1424
8129,4199,4033,1424
8020,3967,4076,1424
8087,4067,4000,1424
7975,3970,4082,1424
8185,4211,4001,1424
8061,3970,4094,1424
8135,4092,4018,1424
8036,4000,4099,1424
8119,4055,3972,1424
8114,4006,4011,1424
8141,4056,4029,1424
8147,4055,4049,1424
8085,3975,4037,1424
8071,4011,4025,1424
7972,3975,4074,1424
8113,4149,4008,1424
8042,4010,4081,1424
8191,4027,3878,1424
8013,3943,4121,1424
8041,4051,4023,1424
7935,3991,4097,1424
8079,4120,3976,1424
8137,4007,3949,1424
8146,4080,4071,1424
8145,3977,3978,1424
8106,3990,4029,1424
8147,4039,3998,1424
8056,3992,4083,1424
8108,4029,3977,1424
8056,4073,4125,1424
7995,4010,4071,1424
8167,4086,3914,1424
8021,3948,4094,1424
8102,4090,4009,1424
8125,4018,3995,1424
8115,4020,4030,1424
8078,4000,4037,1424
8162,4071,3987,1424
8012,3971,4121,1424
8000,4023,4035,1424
7993,3967,3974,1424
8202,4118,3909,1424
8098,3959,4063,1424
8098,4049,4049,1424
7967,3928,4059,1424
8081,4083,3969,1424
8075,4023,4029,1424
7950,3949,4074,1424
8036,4121,4035,1424
8004,4011,4043,1424
8037,4102,4069,1424
8236,4133,3934,1424
8129,3995,4102,1424
8146,4052,4035,1424
8141,4051,4056,1424
7917,3979,4203,1424
8004,4085,3998,1424
8126,4125,4003,1424
8034,3988,4080,1424
8088,4044,3990,1424
8093,4010,4005,1424
