Current infected count,Newly infected count,Newly Susceptible,Total Immune
1,0,0,1428
50,49,0,1428
2079,2050,21,1428
11769,10722,1032,1428
6855,1038,5952,1428
9372,5952,3435,1428
8069,3435,4738,1428
8789,4738,4018,1428
8409,4018,4398,1428
8733,4398,4074,1428
8357,4074,4450,1428
8633,4450,4174,1428
8553,4174,4254,1428
8527,4254,4280,1428
8650,4280,4157,1428
8504,4157,4303,1428
8528,4303,4279,1428
8516,4279,4291,1428
8624,4291,4183,1428
8550,4183,4257,1428
8533,4257,4274,1428
8585,4274,4222,1428
8546,4222,4261,1428
8579,4261,4228,1428
8625,4228,4182,1428
8451,4182,4356,1428
8554,4356,4253,1428
8511,4253,4296,1428
8401,4296,4406,1428
8680,4406,4127,1428
8504,4127,4303,1428
8545,4303,4262,1428
8455,4262,4352,1428
8645,4352,4162,1428
8442,4162,4365,1428
8532,4365,4275,1428
8558,4275,4249,1428
8566,4249,4241,1428
8488,4241,4319,1428
8593,4319,4214,1428
8481,4214,4326,1428
8579,4326,4228,1428
8564,4228,4243,1428
8555,4243,4252,1428
8580,4252,4227,1428
8516,4227,4291,1428
8594,4291,4213,1428
8512,4213,4295,1428
8551,4295,4256,1428
8529,4256,4278,1428
8596,4278,4211,1428
8478,4211,4329,1428
8571,4329,4236,1428
8547,4236,4260,1428
8495,4260,4312,1428
8573,4312,4234,1428
8559,4234,4248,1428
8468,4248,4339,1428
8560,4339,4247,1428
8518,4247,4289,1428
8605,4289,4202,1428
8479,4202,4328,1428
8536,4328,4271,1428
8548,4271,4259,1428
8575,4259,4232,1428
8483,4232,4324,1428
8514,4324,4293,1428
8521,4293,4286,1428
8656,4286,4151,1428
8560,4151,4247,1428
8577,4247,4230,1428
8563,4230,4244,1428
8549,4244,4258,1428
8509,4258,4298,1428
8512,4298,4295,1428
8558,4295,4249,1428
8597,4249,4210,1428
8405,4210,4402,1428
8604,4402,4203,1428
8521,4203,4286,1428
8545,4286,4262,1428
8556,4262,4251,1428
8531,4251,4276,1428
8499,4276,4308,1428
8500,4308,4307,1428
8574,4307,4233,1428
8599,4233,4208,1428
8538,4208,4269,1428
8576,4269,4231,1428
8482,4231,4325,1428
8566,4325,4241,1428
8603,4241,4204,1428
8441,4204,4366,1428
8606,4366,4201,1428
8546,4201,4261,1428
8488,4261,4319,1428
8543,4319,4264,1428
8530,4264,4277,1428
8526,4277,4281,1428
8575,4281,4232,1428
8462,4232,4345,1428
8574,4345,4233,1428
8552,4233,4255,1428
8537,4255,4270,1428
8573,4270,4234,1428
8537,4234,4270,1428
8600,4270,4207,1428
8501,4207,4306,1428
8519,4306,4288,1428
8533,4288,4274,1428
8547,4274,4260,1428
8624,4260,4183,1428
8423,4183,4384,1428
8530,4384,4277,1428
8552,4277,4255,1428
8626,4255,4181,1428
8548,4181,4259,1428
8472,4259,4335,1428
8532,4335,4275,1428
8497,4275,4310,1428
8581,4310,4226,1428
8542,4226,4265,1428
8496,4265,4311,1428
8555,4311,4252,1428
8527,4252,4280,1428
8538,4280,4269,1428
8487,4269,4320,1428
8593,4320,4214,1428
8562,4214,4245,1428
8563,4245,4244,1428
8594,4244,4213,1428
8523,4213,4284,1428
8548,4284,4259,1428
8601,4259,4206,1428
8539,4206,4268,1428
8467,4268,4340,1428
8528,4340,4279,1428
8581,4279,4226,1428
8553,4226,4254,1428
8543,4254,4264,1428
8503,4264,4304,1428
8622,4304,4185,1428
8513,4185,4294,1428
8597,4294,4210,1428
8564,4210,4243,1428
8505,4243,4302,1428
8529,4302,4278,1428
8582,4278,4225,1428
8555,4225,4252,1428
8623,4252,4184,1428
8432,4184,4375,1428
8642,4375,4165,1428
8506,4165,4301,1428
8533,4301,4274,1428
8516,4274,4291,1428
8610,4291,4197,1428
8493,4197,4314,1428
8522,4314,4285,1428
8526,4285,4281,1428
8530,4281,4277,1428
8570,4277,4237,1428
8518,4237,4289,1428
8460,4289,4347,1428
8605,4347,4202,1428
8477,4202,4330,1428
8551,4330,4256,1428
8516,4256,4291,1428
8533,4291,4274,1428
8547,4274,4260,1428
8547,4260,4260,1428
8536,4260,4271,1428
8489,4271,4318,1428
8544,4318,4263,1428
8528,4263,4279,1428
8616,4279,4191,1428
8416,4191,4391,1428
8653,4391,4154,1428
8469,4154,4338,1428
8634,4338,4173,1428
8514,4173,4293,1428
8420,4293,4387,1428
