Current infected count,Newly infected count,Newly Susceptible,Total Immune
1,0,0,1424
50,49,0,1424
2064,2041,27,1424
11735,10739,1068,1424
6870,1076,5941,1424
9402,5941,3409,1424
8107,3409,4704,1424
8765,4704,4046,1424
8457,4046,4354,1424
8499,4354,4312,1424
8517,4312,4294,1424
8493,4294,4318,1424
8498,4318,4313,1424
8565,4313,4246,1424
8559,4246,4252,1424
8550,4252,4261,1424
8529,4261,4282,1424
8513,4282,4298,1424
8536,4298,4275,1424
8437,4275,4374,1424
8495,4374,4316,1424
8581,4316,4230,1424
8486,4230,4325,1424
8487,4325,4324,1424
8480,4324,4331,1424
8585,4331,4226,1424
8587,4226,4224,1424
8496,4224,4315,1424
8587,4315,4224,1424
8570,4224,4241,1424
8528,4241,4283,1424
8598,4283,4213,1424
8501,4213,4310,1424
8527,4310,4284,1424
8528,4284,4283,1424
8503,4283,4308,1424
8522,4308,4289,1424
8533,4289,4278,1424
8463,4278,4348,1424
8618,4348,4193,1424
8560,4193,4251,1424
8512,4251,4299,1424
8578,4299,4233,1424
8556,4233,4255,1424
8444,4255,4367,1424
8636,4367,4175,1424
8472,4175,4339,1424
8555,4339,4256,1424
8557,4256,4254,1424
8548,4254,4263,1424
8594,4263,4217,1424
8529,4217,4282,1424
8534,4282,4277,1424
8455,4277,4356,1424
8546,4356,4265,1424
8556,4265,4255,1424
8560,4255,4251,1424
8540,4251,4271,1424
8515,4271,4296,1424
8483,4296,4328,1424
8509,4328,4302,1424
8468,4302,4343,1424
8611,4343,4200,1424
8525,4200,4286,1424
8493,4286,4318,1424
8593,4318,4218,1424
8426,4218,4385,1424
8682,4385,4129,1424
8439,4129,4372,1424
8667,4372,4144,1424
8540,4144,4271,1424
8546,4271,4265,1424
8533,4265,4278,1424
8528,4278,4283,1424
8551,4283,4260,1424
8544,4260,4267,1424
8593,4267,4218,1424
8488,4218,4323,1424
8563,4323,4248,1424
8492,4248,4319,1424
8577,4319,4234,1424
8563,4234,4248,1424
8598,4248,4213,1424
8514,4213,4297,1424
8564,4297,4247,1424
8558,4247,4253,1424
8490,4253,4321,1424
8536,4321,4275,1424
8571,4275,4240,1424
8537,4240,4274,1424
8455,4274,4356,1424
8620,4356,4191,1424
8471,4191,4340,1424
8588,4340,4223,1424
8481,4223,4330,1424
8635,4330,4176,1424
8555,4176,4256,1424
8555,4256,4256,1424
8486,4256,4325,1424
8657,4325,4154,1424
8508,4154,4303,1424
8525,4303,4286,1424
8523,4286,4288,1424
8621,4288,4190,1424
8566,4190,4245,1424
8540,4245,4271,1424
8552,4271,4259,1424
8546,4259,4265,1424
8512,4265,4299,1424
8579,4299,4232,1424
8558,4232,4253,1424
8519,4253,4292,1424
8457,4292,4354,1424
8628,4354,4183,1424
8431,4183,4380,1424
8579,4380,4232,1424
8557,4232,4254,1424
8411,4254,4400,1424
8634,4400,4177,1424
8451,4177,4360,1424
8544,4360,4267,1424
8506,4267,4305,1424
8518,4305,4293,1424
8491,4293,4320,1424
8673,4320,4138,1424
8460,4138,4351,1424
8592,4351,4219,1424
8588,4219,4223,1424
8537,4223,4274,1424
8520,4274,4291,1424
8650,4291,4161,1424
8545,4161,4266,1424
8581,4266,4230,1424
8486,4230,4325,1424
8515,4325,4296,1424
8628,4296,4183,1424
8485,4183,4326,1424
8590,4326,4221,1424
8444,4221,4367,1424
8496,4367,4315,1424
8445,4315,4366,1424
8660,4366,4151,1424
8497,4151,4314,1424
8591,4314,4220,1424
8553,4220,4258,1424
8541,4258,4270,1424
8591,4270,4220,1424
8501,4220,4310,1424
8639,4310,4172,1424
8584,4172,4227,1424
8540,4227,4271,1424
8538,4271,4273,1424
8610,4273,4201,1424
8574,4201,4237,1424
8511,4237,4300,1424
8479,4300,4332,1424
8531,4332,4280,1424
8507,4280,4304,1424
8494,4304,4317,1424
8574,4317,4237,1424
8575,4237,4236,1424
8582,4236,4229,1424
8596,4229,4215,1424
8448,4215,4363,1424
8548,4363,4263,1424
8613,4263,4198,1424
8516,4198,4295,1424
8549,4295,4262,1424
8514,4262,4297,1424
8511,4297,4300,1424
8568,4300,4243,1424
8536,4243,4275,1424
8465,4275,4346,1424
8590,4346,4221,1424
8532,4221,4279,1424
8541,4279,4270,1424
8529,4270,4282,1424
8558,4282,4253,1424
8545,4253,4266,1424
8488,4266,4323,1424
8691,4323,4120,1424
