Current infected count,Newly infected count,Newly Susceptible,Total Immune
1,0,0,0
51,50,0,0
2405,2375,21,0
12989,11828,1244,0
7795,1247,6441,0
10416,6441,3820,0
9021,3819,5214,0
9698,5214,4537,0
9358,4537,4877,0
9459,4877,4776,0
9515,4776,4720,0
9515,4720,4720,0
9439,4720,4796,0
9536,4796,4699,0
9514,4699,4721,0
9537,4721,4698,0
9490,4698,4745,0
9526,4745,4709,0
9468,4709,4767,0
9528,4767,4707,0
9531,4707,4704,0
9430,4704,4805,0
9544,4805,4691,0
9429,4691,4806,0
9415,4806,4820,0
9507,4820,4728,0
9562,4728,4673,0
9504,4673,4731,0
9379,4731,4856,0
9537,4856,4698,0
9406,4698,4829,0
9474,4829,4761,0
9495,4761,4740,0
9507,4740,4728,0
9538,4728,4697,0
9538,4697,4697,0
9516,4697,4719,0
9516,4719,4719,0
9514,4719,4721,0
9411,4721,4824,0
9598,4824,4637,0
9397,4637,4838,0
9535,4838,4700,0
9380,4700,4855,0
9555,4855,4680,0
9478,4680,4757,0
9577,4757,4658,0
9365,4658,4870,0
9528,4870,4707,0
9452,4707,4783,0
9400,4783,4835,0
9484,4835,4751,0
9476,4751,4759,0
9431,4759,4804,0
9510,4804,4725,0
9482,4725,4753,0
9470,4753,4765,0
9497,4765,4738,0
9478,4738,4757,0
9472,4757,4763,0
9513,4763,4722,0
9506,4722,4729,0
9421,4729,4814,0
9542,4814,4693,0
9557,4693,4678,0
9459,4678,4776,0
9471,4776,4764,0
9455,4764,4780,0
9511,4780,4724,0
9518,4724,4717,0
9442,4717,4793,0
9525,4793,4710,0
9454,4710,4781,0
9500,4781,4735,0
9541,4735,4694,0
9523,4694,4712,0
9508,4712,4727,0
9416,4727,4819,0
9537,4819,4698,0
9591,4698,4644,0
9368,4644,4867,0
9559,4867,4676,0
9364,4676,4871,0
9639,4871,4596,0
9420,4596,4815,0
9555,4815,4680,0
9398,4680,4837,0
9489,4837,4746,0
9529,4746,4706,0
9465,4706,4770,0
9503,4770,4732,0
9511,4732,4724,0
9514,4724,4721,0
9503,4721,4732,0
9464,4732,4771,0
9503,4771,4732,0
9496,4732,4739,0
9525,4739,4710,0
9464,4710,4771,0
9478,4771,4757,0
9463,4757,4772,0
9602,4772,4633,0
9493,4633,4742,0
9492,4742,4743,0
9519,4743,4716,0
9417,4716,4818,0
9615,4818,4620,0
9397,4620,4838,0
9570,4838,4665,0
9447,4665,4788,0
9503,4788,4732,0
9511,4732,4724,0
9518,4724,4717,0
9492,4717,4743,0
9463,4743,4772,0
9514,4772,4721,0
9435,4721,4800,0
9443,4800,4792,0
9492,4792,4743,0
9437,4743,4798,0
9567,4798,4668,0
9491,4668,4744,0
9489,4744,4746,0
9521,4746,4714,0
9493,4714,4742,0
9510,4742,4725,0
9460,4725,4775,0
9442,4775,4793,0
9538,4793,4697,0
9519,4697,4716,0
9532,4716,4703,0
9421,4703,4814,0
9513,4814,4722,0
9388,4722,4847,0
9503,4847,4732,0
9497,4732,4738,0
9493,4738,4742,0
9532,4742,4703,0
9446,4703,4789,0
9545,4789,4690,0
9472,4690,4763,0
9478,4763,4757,0
9482,4757,4753,0
9497,4753,4738,0
9533,4738,4702,0
9465,4702,4770,0
9397,4770,4838,0
9430,4838,4805,0
9570,4805,4665,0
9532,4665,4703,0
9445,4703,4790,0
9579,4790,4656,0
9361,4656,4874,0
9567,4874,4668,0
9396,4668,4839,0
9524,4839,4711,0
9481,4711,4754,0
9446,4754,4789,0
9371,4789,4864,0
9566,4864,4669,0
9489,4669,4746,0
9446,4746,4789,0
9430,4789,4805,0
9558,4805,4677,0
9352,4677,4883,0
9598,4883,4637,0
9426,4637,4809,0
9450,4809,4785,0
9438,4785,4797,0
9461,4797,4774,0
9465,4774,4770,0
9444,4770,4791,0
9544,4791,4691,0
9609,4691,4626,0
9436,4626,4799,0
9472,4799,4763,0
9559,4763,4676,0
9488,4676,4747,0
9512,4747,4723,0
9519,4723,4716,0
9482,4716,4753,0
