Current infected count,Newly infected count,Newly Susceptible,Total Immune
1,0,0,1424
45,45,1,1424
2137,2114,22,1424
13187,12095,1045,1424
7668,1048,6567,1424
10352,6567,3883,1424
9036,3883,5199,1424
9732,5199,4503,1424
9497,4503,4738,1424
9450,4738,4785,1424
9537,4785,4698,1424
9470,4698,4765,1424
9504,4765,4731,1424
9565,4731,4670,1424
9466,4670,4769,1424
9397,4769,4838,1424
9599,4838,4636,1424
9400,4636,4835,1424
9601,4835,4634,1424
9447,4634,4788,1424
9455,4788,4780,1424
9580,4780,4655,1424
9411,4655,4824,1424
9541,4824,4694,1424
9539,4694,4696,1424
9528,4696,4707,1424
9492,4707,4743,1424
9444,4743,4791,1424
9502,4791,4733,1424
9467,4733,4768,1424
9499,4768,4736,1424
9548,4736,4687,1424
9400,4687,4835,1424
9527,4835,4708,1424
9484,4708,4751,1424
9432,4751,4803,1424
9513,4803,4722,1424
9442,4722,4793,1424
9456,4793,4779,1424
9475,4779,4760,1424
9418,4760,4817,1424
9549,4817,4686,1424
9475,4686,4760,1424
9505,4760,4730,1424
9575,4730,4660,1424
9430,4660,4805,1424
9613,4805,4622,1424
9468,4622,4767,1424
9511,4767,4724,1424
9445,4724,4790,1424
9508,4790,4727,1424
9573,4727,4662,1424
9494,4662,4741,1424
9411,4741,4824,1424
9486,4824,4749,1424
9392,4749,4843,1424
9466,4843,4769,1424
9563,4769,4672,1424
9434,4672,4801,1424
9502,4801,4733,1424
9503,4733,4732,1424
9476,4732,4759,1424
9489,4759,4746,1424
9441,4746,4794,1424
9491,4794,4744,1424
9460,4744,4775,1424
9527,4775,4708,1424
9474,4708,4761,1424
9433,4761,4802,1424
9497,4802,4738,1424
9471,4738,4764,1424
9615,4764,4620,1424
9558,4620,4677,1424
9482,4677,4753,1424
9470,4753,4765,1424
9436,4765,4799,1424
9634,4799,4601,1424
9422,4601,4813,1424
9579,4813,4656,1424
9341,4656,4894,1424
9560,4894,4675,1424
9480,4675,4755,1424
9494,4755,4741,1424
9460,4741,4775,1424
9478,4775,4757,1424
9519,4757,4716,1424
9503,4716,4732,1424
9500,4732,4735,1424
9398,4735,4837,1424
9534,4837,4701,1424
9502,4701,4733,1424
9441,4733,4794,1424
9492,4794,4743,1424
9455,4743,4780,1424
9515,4780,4720,1424
9449,4720,4786,1424
9541,4786,4694,1424
9431,4694,4804,1424
9437,4804,4798,1424
9562,4798,4673,1424
9519,4673,4716,1424
9429,4716,4806,1424
9547,4806,4688,1424
9385,4688,4850,1424
9514,4850,4721,1424
9419,4721,4816,1424
9557,4816,4678,1424
9530,4678,4705,1424
9461,4705,4774,1424
9571,4774,4664,1424
9483,4664,4752,1424
9466,4752,4769,1424
9472,4769,4763,1424
9572,4763,4663,1424
9379,4663,4856,1424
9482,4856,4753,1424
9502,4753,4733,1424
9475,4733,4760,1424
9562,4760,4673,1424
9423,4673,4812,1424
9457,4812,4778,1424
9469,4778,4766,1424
9564,4766,4671,1424
9527,4671,4708,1424
9454,4708,4781,1424
9481,4781,4754,1424
9493,4754,4742,1424
9534,4742,4701,1424
9538,4701,4697,1424
9442,4697,4793,1424
9525,4793,4710,1424
9451,4710,4784,1424
9513,4784,4722,1424
9533,4722,4702,1424
9415,4702,4820,1424
9544,4820,4691,1424
9488,4691,4747,1424
9482,4747,4753,1424
9543,4753,4692,1424
9396,4692,4839,1424
9583,4839,4652,1424
9418,4652,4817,1424
9536,4817,4699,1424
9454,4699,4781,1424
9452,4781,4783,1424
9509,4783,4726,1424
9508,4726,4727,1424
9567,4727,4668,1424
9436,4668,4799,1424
9539,4799,4696,1424
9459,4696,4776,1424
9475,4776,4760,1424
9472,4760,4763,1424
9562,4763,4673,1424
9378,4673,4857,1424
9492,4857,4743,1424
9414,4743,4821,1424
9500,4821,4735,1424
9488,4735,4747,1424
9465,4747,4770,1424
9461,4770,4774,1424
9451,4774,4784,1424
9444,4784,4791,1424
9515,4791,4720,1424
9348,4720,4887,1424
9516,4887,4719,1424
9458,4719,4777,1424
9500,4777,4735,1424
9614,4735,4621,1424
9468,4621,4767,1424
9525,4767,4710,1424
9475,4710,4760,1424
9445,4760,4790,1424
9557,4790,4678,1424
9511,4678,4724,1424
9384,4724,4851,1424
9547,4851,4688,1424
9312,4688,4923,1424
9649,4923,4586,1424
9451,4586,4784,1424
9473,4784,4762,1424
