Current infected count,Newly infected count,Newly Susceptible,Total Immune
1,0,0,1424
23,22,0,1424
84,73,12,1424
590,557,51,1424
2733,2442,299,1424
8947,7605,1391,1424
8439,3861,4369,1424
8525,4377,4291,1424
8555,4291,4261,1424
8551,4261,4265,1424
8568,4265,4248,1424
8537,4248,4279,1424
8688,4279,4128,1424
8520,4128,4296,1424
8602,4296,4214,1424
8559,4214,4257,1424
8578,4257,4238,1424
8458,4238,4358,1424
8556,4358,4260,1424
8566,4260,4250,1424
8528,4250,4288,1424
8564,4288,4252,1424
8532,4252,4284,1424
8543,4284,4273,1424
8501,4273,4315,1424
8556,4315,4260,1424
8573,4260,4243,1424
8504,4243,4312,1424
8520,4312,4296,1424
8562,4296,4254,1424
8561,4254,4255,1424
8531,4255,4285,1424
8545,4285,4271,1424
8461,4271,4355,1424
8571,4355,4245,1424
8480,4245,4336,1424
8556,4336,4260,1424
8537,4260,4279,1424
8562,4279,4254,1424
8469,4254,4347,1424
8634,4347,4182,1424
8473,4182,4343,1424
8596,4343,4220,1424
8538,4220,4278,1424
8531,4278,4285,1424
8493,4285,4323,1424
8546,4323,4270,1424
8525,4270,4291,1424
8518,4291,4298,1424
8601,4298,4215,1424
8464,4215,4352,1424
8598,4352,4218,1424
8496,4218,4320,1424
8509,4320,4307,1424
8583,4307,4233,1424
8579,4233,4237,1424
8506,4237,4310,1424
8415,4310,4401,1424
8583,4401,4233,1424
8536,4233,4280,1424
8524,4280,4292,1424
8563,4292,4253,1424
8540,4253,4276,1424
8482,4276,4334,1424
8530,4334,4286,1424
8580,4286,4236,1424
8559,4236,4257,1424
8531,4257,4285,1424
8551,4285,4265,1424
8552,4265,4264,1424
8525,4264,4291,1424
8557,4291,4259,1424
8536,4259,4280,1424
8515,4280,4301,1424
8619,4301,4197,1424
8518,4197,4298,1424
8600,4298,4216,1424
8500,4216,4316,1424
8562,4316,4254,1424
8594,4254,4222,1424
8511,4222,4305,1424
8559,4305,4257,1424
8626,4257,4190,1424
8591,4190,4225,1424
8470,4225,4346,1424
8528,4346,4288,1424
8592,4288,4224,1424
8537,4224,4279,1424
8563,4279,4253,1424
8457,4253,4359,1424
8540,4359,4276,1424
8551,4276,4265,1424
8682,4265,4134,1424
8508,4134,4308,1424
8521,4308,4295,1424
8524,4295,4292,1424
8588,4292,4228,1424
8634,4228,4182,1424
8531,4182,4285,1424
8589,4285,4227,1424
8530,4227,4286,1424
8599,4286,4217,1424
8588,4217,4228,1424
8513,4228,4303,1424
8564,4303,4252,1424
8474,4251,4341,1424
8497,4342,4319,1424
8517,4319,4299,1424
8563,4299,4253,1424
8483,4253,4333,1424
8618,4333,4198,1424
8540,4198,4276,1424
8393,4276,4423,1424
8653,4423,4163,1424
8460,4163,4356,1424
8540,4356,4276,1424
8574,4276,4242,1424
8430,4242,4386,1424
8625,4386,4191,1424
8538,4191,4278,1424
8577,4278,4239,1424
8590,4239,4226,1424
8475,4226,4341,1424
8582,4341,4234,1424
8517,4234,4299,1424
8521,4299,4295,1424
8492,4295,4324,1424
8551,4324,4265,1424
8629,4265,4187,1424
8495,4187,4321,1424
8615,4321,4201,1424
8526,4201,4290,1424
8535,4290,4281,1424
8545,4281,4271,1424
8593,4271,4223,1424
8486,4223,4330,1424
8589,4330,4227,1424
8422,4227,4394,1424
8593,4394,4223,1424
8506,4223,4310,1424
8567,4310,4249,1424
8585,4249,4231,1424
8496,4231,4320,1424
8609,4320,4207,1424
8475,4207,4341,1424
8613,4341,4203,1424
8610,4203,4206,1424
8496,4206,4320,1424
8530,4320,4286,1424
8589,4286,4227,1424
8447,4227,4369,1424
8585,4369,4231,1424
8495,4231,4321,1424
8534,4321,4282,1424
8523,4282,4293,1424
8575,4293,4241,1424
8525,4241,4291,1424
8580,4291,4236,1424
8591,4236,4225,1424
8502,4225,4314,1424
8613,4314,4203,1424
8513,4203,4303,1424
8538,4303,4278,1424
8595,4278,4221,1424
8542,4221,4274,1424
8553,4274,4263,1424
8529,4263,4287,1424
8607,4287,4209,1424
8530,4209,4286,1424
8483,4286,4333,1424
8548,4333,4268,1424
8600,4268,4216,1424
8563,4216,4253,1424
8541,4253,4275,1424
8452,4275,4364,1424
8548,4364,4268,1424
8616,4268,4200,1424
8484,4200,4332,1424
8515,4332,4301,1424
8508,4301,4308,1424
8509,4308,4307,1424
