Current infected count,Newly infected count,Newly Susceptible,Total Immune
1,0,0,1424
21,20,0,1424
93,80,8,1424
674,625,44,1424
3491,3148,331,1424
9675,7857,1673,1424
7887,3140,4928,1424
8801,4929,4015,1424
8378,4015,4438,1424
8643,4438,4173,1424
8476,4173,4340,1424
8518,4340,4298,1424
8530,4298,4286,1424
8514,4286,4302,1424
8611,4302,4205,1424
8484,4205,4332,1424
8546,4332,4270,1424
8521,4270,4295,1424
8580,4295,4236,1424
8528,4236,4288,1424
8598,4288,4218,1424
8425,4218,4391,1424
8578,4391,4238,1424
8563,4238,4253,1424
8502,4253,4314,1424
8527,4314,4289,1424
8656,4289,4160,1424
8531,4160,4285,1424
8530,4285,4286,1424
8562,4286,4254,1424
8536,4254,4280,1424
8508,4280,4308,1424
8547,4308,4269,1424
8500,4269,4316,1424
8578,4316,4238,1424
8569,4238,4247,1424
8541,4247,4275,1424
8581,4275,4235,1424
8636,4235,4180,1424
8399,4180,4417,1424
8642,4417,4174,1424
8474,4174,4342,1424
8589,4342,4227,1424
8420,4227,4396,1424
8619,4396,4197,1424
8500,4197,4316,1424
8456,4316,4360,1424
8542,4360,4274,1424
8513,4274,4303,1424
8521,4303,4295,1424
8495,4295,4321,1424
8508,4321,4308,1424
8620,4308,4196,1424
8512,4196,4304,1424
8630,4304,4186,1424
8476,4186,4340,1424
8600,4340,4216,1424
8513,4216,4303,1424
8540,4303,4276,1424
8493,4276,4323,1424
8573,4323,4243,1424
8526,4243,4290,1424
8534,4290,4282,1424
8485,4282,4331,1424
8496,4331,4320,1424
8527,4320,4289,1424
8563,4289,4253,1424
8479,4253,4337,1424
8579,4337,4237,1424
8489,4237,4327,1424
8580,4327,4236,1424
8382,4236,4434,1424
8612,4434,4204,1424
8555,4204,4261,1424
8489,4261,4327,1424
8585,4327,4231,1424
8481,4231,4335,1424
8550,4335,4266,1424
8598,4266,4218,1424
8565,4218,4251,1424
8545,4251,4271,1424
8505,4271,4311,1424
8509,4311,4307,1424
8507,4307,4309,1424
8626,4309,4190,1424
8521,4190,4295,1424
8522,4295,4294,1424
8536,4294,4280,1424
8560,4280,4256,1424
8473,4256,4343,1424
8583,4343,4233,1424
8516,4233,4300,1424
8538,4300,4278,1424
8591,4278,4225,1424
8491,4225,4325,1424
8621,4325,4195,1424
8569,4195,4247,1424
8631,4247,4185,1424
8472,4185,4344,1424
8641,4344,4175,1424
8483,4175,4333,1424
8516,4333,4300,1424
8587,4300,4229,1424
8565,4229,4251,1424
8594,4251,4222,1424
8538,4222,4278,1424
8609,4278,4207,1424
8509,4207,4307,1424
8648,4307,4168,1424
8515,4168,4301,1424
8628,4301,4188,1424
8584,4188,4232,1424
8585,4232,4231,1424
8531,4231,4285,1424
8553,4285,4263,1424
8575,4263,4241,1424
8533,4241,4283,1424
8477,4283,4339,1424
8569,4339,4247,1424
8486,4247,4330,1424
8491,4330,4325,1424
8627,4325,4189,1424
8543,4189,4273,1424
8509,4273,4307,1424
8521,4307,4295,1424
8501,4295,4315,1424
8567,4315,4249,1424
8585,4249,4231,1424
8510,4231,4306,1424
8481,4306,4335,1424
8520,4335,4296,1424
8512,4296,4304,1424
8593,4304,4223,1424
8580,4223,4236,1424
8488,4236,4328,1424
8536,4328,4280,1424
8516,4280,4300,1424
8606,4300,4210,1424
8581,4210,4235,1424
8512,4235,4304,1424
8531,4304,4285,1424
8540,4285,4276,1424
8615,4276,4201,1424
8479,4201,4337,1424
8595,4337,4221,1424
8474,4221,4342,1424
8630,4342,4186,1424
8528,4186,4288,1424
8503,4288,4313,1424
8586,4313,4230,1424
8505,4230,4311,1424
8531,4311,4285,1424
8636,4285,4180,1424
8513,4180,4303,1424
8582,4303,4234,1424
8592,4234,4224,1424
8480,4224,4336,1424
8585,4336,4231,1424
8560,4231,4256,1424
8423,4256,4393,1424
8573,4393,4243,1424
8519,4243,4297,1424
8552,4297,4264,1424
8553,4264,4263,1424
8532,4263,4284,1424
8541,4284,4275,1424
8610,4275,4206,1424
8435,4206,4381,1424
8558,4381,4258,1424
8561,4258,4255,1424
8494,4255,4322,1424
8592,4322,4224,1424
8444,4224,4372,1424
8540,4372,4276,1424
8463,4276,4353,1424
8596,4353,4220,1424
8452,4220,4364,1424
8652,4364,4164,1424
8512,4164,4304,1424
8503,4304,4313,1424
8572,4313,4244,1424
