Current infected count,Newly infected count,Newly Susceptible,Total Immune
1,0,0,1424
25,24,0,1424
116,101,10,1424
729,673,60,1424
3956,3608,381,1424
9816,7841,1981,1424
7837,3000,4979,1424
8848,4979,3968,1424
8331,3968,4485,1424
8602,4485,4214,1424
8530,4214,4286,1424
8542,4286,4274,1424
8531,4274,4285,1424
8525,4285,4291,1424
8562,4291,4254,1424
8539,4254,4277,1424
8547,4277,4269,1424
8482,4269,4334,1424
8514,4334,4302,1424
8570,4302,4246,1424
8439,4246,4377,1424
8611,4377,4205,1424
8498,4205,4318,1424
8556,4318,4260,1424
8620,4260,4196,1424
8519,4196,4297,1424
8476,4297,4340,1424
8537,4340,4279,1424
8527,4279,4289,1424
8520,4289,4296,1424
8575,4296,4241,1424
8490,4241,4326,1424
8676,4326,4140,1424
8466,4140,4350,1424
8622,4350,4194,1424
8581,4194,4235,1424
8627,4235,4189,1424
8542,4189,4274,1424
8640,4274,4176,1424
8544,4176,4272,1424
8522,4272,4294,1424
8538,4294,4278,1424
8595,4278,4221,1424
8498,4221,4318,1424
8554,4318,4262,1424
8519,4262,4297,1424
8642,4297,4174,1424
8465,4174,4351,1424
8683,4351,4133,1424
8559,4133,4257,1424
8556,4257,4260,1424
8522,4260,4294,1424
8610,4294,4206,1424
8556,4206,4260,1424
8560,4260,4256,1424
8506,4256,4310,1424
8570,4310,4246,1424
8518,4246,4298,1424
8501,4298,4315,1424
8576,4315,4240,1424
8578,4240,4238,1424
8591,4238,4225,1424
8517,4225,4299,1424
8477,4299,4339,1424
8654,4339,4162,1424
8496,4162,4320,1424
8648,4320,4168,1424
8487,4168,4329,1424
8597,4329,4219,1424
8530,4219,4286,1424
8531,4286,4285,1424
8522,4285,4294,1424
8492,4294,4324,1424
8529,4324,4287,1424
8533,4287,4283,1424
8603,4283,4213,1424
8608,4213,4208,1424
8419,4208,4397,1424
8577,4397,4239,1424
8589,4239,4227,1424
8494,4227,4322,1424
8569,4322,4247,1424
8518,4247,4298,1424
8646,4298,4170,1424
8595,4170,4221,1424
8531,4221,4285,1424
8496,4285,4320,1424
8537,4320,4279,1424
8566,4279,4250,1424
8525,4250,4291,1424
8580,4291,4236,1424
8581,4236,4235,1424
8542,4235,4274,1424
8570,4274,4246,1424
8551,4246,4265,1424
8525,4265,4291,1424
8438,4291,4378,1424
8606,4378,4210,1424
8527,4210,4289,1424
8535,4289,4281,1424
8500,4281,4316,1424
8626,4316,4190,1424
8525,4190,4291,1424
8560,4291,4256,1424
8544,4256,4272,1424
8557,4272,4259,1424
8601,4259,4215,1424
8403,4215,4413,1424
8595,4413,4221,1424
8471,4221,4345,1424
8583,4345,4233,1424
8530,4233,4286,1424
8499,4286,4317,1424
8535,4317,4281,1424
8604,4281,4212,1424
8503,4212,4313,1424
8499,4313,4317,1424
8484,4317,4332,1424
8591,4332,4225,1424
8455,4225,4361,1424
8563,4361,4253,1424
8612,4253,4204,1424
8463,4204,4353,1424
8617,4353,4199,1424
8466,4199,4350,1424
8554,4350,4262,1424
8467,4262,4349,1424
8662,4349,4154,1424
8546,4154,4270,1424
8580,4270,4236,1424
8599,4236,4217,1424
8479,4217,4337,1424
8477,4337,4339,1424
8572,4339,4244,1424
8534,4244,4282,1424
8560,4282,4256,1424
8639,4256,4177,1424
8497,4177,4319,1424
8608,4319,4208,1424
8505,4208,4311,1424
8565,4311,4251,1424
8535,4251,4281,1424
8494,4281,4322,1424
8548,4322,4268,1424
8516,4268,4300,1424
8585,4300,4231,1424
8562,4231,4254,1424
8491,4254,4325,1424
8674,4325,4142,1424
8426,4142,4390,1424
8544,4390,4272,1424
8631,4272,4185,1424
8536,4185,4280,1424
8555,4280,4261,1424
8636,4261,4180,1424
8547,4180,4269,1424
8492,4269,4324,1424
8568,4324,4248,1424
8495,4248,4321,1424
8586,4321,4230,1424
8576,4230,4240,1424
8481,4240,4335,1424
8553,4335,4263,1424
8486,4263,4330,1424
8532,4330,4284,1424
8554,4284,4262,1424
8518,4262,4298,1424
8562,4298,4254,1424
8554,4254,4262,1424
8529,4262,4287,1424
8494,4287,4322,1424
8568,4322,4248,1424
8478,4248,4338,1424
8645,4338,4171,1424
8459,4171,4357,1424
8625,4357,4191,1424
8553,4191,4263,1424
8578,4263,4238,1424
8451,4238,4365,1424
8603,4365,4213,1424
8458,4213,4358,1424
