Current infected count,Newly infected count,Newly Susceptible,Total Immune
1,0,0,0
23,23,1,0
120,113,16,0
1068,1021,73,0
5420,4938,586,0
11164,8510,2766,0
8510,3076,5730,0
9978,5730,4262,0
9298,4262,4942,0
9617,4942,4623,0
9470,4623,4770,0
9576,4770,4664,0
9516,4664,4724,0
9492,4724,4748,0
9552,4748,4688,0
9507,4688,4733,0
9516,4733,4724,0
9387,4724,4853,0
9560,4853,4680,0
9462,4680,4778,0
9560,4778,4680,0
9493,4680,4747,0
9560,4747,4680,0
9484,4680,4756,0
9518,4756,4722,0
9482,4722,4758,0
9505,4758,4735,0
9446,4735,4794,0
9541,4794,4699,0
9379,4699,4861,0
9534,4861,4706,0
9430,4706,4810,0
9536,4810,4704,0
9398,4704,4842,0
9556,4842,4684,0
9451,4684,4789,0
9520,4789,4720,0
9476,4720,4764,0
9447,4764,4793,0
9490,4793,4750,0
9505,4750,4735,0
9468,4735,4772,0
9604,4772,4636,0
9431,4636,4809,0
9586,4809,4654,0
9407,4654,4833,0
9501,4833,4739,0
9555,4739,4685,0
9420,4685,4820,0
9543,4820,4697,0
9481,4697,4759,0
9460,4759,4780,0
9355,4780,4885,0
9587,4885,4653,0
9439,4653,4801,0
9530,4801,4710,0
9497,4710,4743,0
9406,4743,4834,0
9563,4834,4677,0
9503,4677,4737,0
9544,4737,4696,0
9455,4696,4785,0
9593,4785,4647,0
9461,4647,4779,0
9561,4779,4679,0
9437,4679,4803,0
9563,4803,4677,0
9429,4677,4811,0
9527,4811,4713,0
9502,4713,4738,0
9478,4738,4762,0
9456,4762,4784,0
9547,4784,4693,0
9462,4693,4778,0
9603,4778,4637,0
9399,4637,4841,0
9545,4841,4695,0
9469,4695,4771,0
9552,4771,4688,0
9517,4688,4723,0
9509,4723,4731,0
9462,4731,4778,0
9527,4778,4713,0
9490,4713,4750,0
9412,4750,4828,0
9555,4828,4685,0
9481,4685,4759,0
9570,4759,4670,0
9438,4670,4802,0
9435,4802,4805,0
9528,4805,4712,0
9518,4712,4722,0
9472,4722,4768,0
9520,4768,4720,0
9463,4720,4777,0
9414,4777,4826,0
9558,4826,4682,0
9442,4682,4798,0
9465,4798,4775,0
9512,4775,4728,0
9505,4728,4735,0
9539,4735,4701,0
9377,4701,4863,0
9389,4863,4851,0
9575,4851,4665,0
9400,4665,4840,0
9497,4840,4743,0
9411,4743,4829,0
9580,4829,4660,0
9443,4660,4797,0
9523,4797,4717,0
9542,4717,4698,0
9472,4698,4768,0
9557,4768,4683,0
9431,4683,4809,0
9499,4809,4741,0
9492,4741,4748,0
9498,4748,4742,0
9478,4742,4762,0
9561,4762,4679,0
9484,4679,4756,0
9495,4756,4745,0
9502,4745,4738,0
9486,4738,4754,0
9371,4754,4869,0
9585,4869,4655,0
9416,4655,4824,0
9523,4824,4717,0
9476,4717,4764,0
9422,4764,4818,0
9521,4818,4719,0
9465,4719,4775,0
9552,4775,4688,0
9453,4688,4787,0
9597,4787,4643,0
9414,4643,4826,0
9569,4826,4671,0
9475,4671,4765,0
9541,4765,4699,0
9515,4699,4725,0
9498,4725,4742,0
9490,4742,4750,0
9514,4750,4726,0
9438,4726,4802,0
9552,4802,4688,0
9435,4688,4805,0
9513,4805,4727,0
9474,4727,4766,0
9594,4766,4646,0
9425,4646,4815,0
9518,4815,4722,0
9392,4722,4848,0
9574,4848,4666,0
9491,4666,4749,0
9561,4749,4679,0
9529,4679,4711,0
9435,4711,4805,0
9550,4805,4690,0
9409,4690,4831,0
9493,4831,4747,0
9585,4747,4655,0
9471,4655,4769,0
9529,4769,4711,0
9478,4711,4762,0
9585,4762,4655,0
9412,4655,4828,0
9474,4828,4766,0
9477,4766,4763,0
9509,4763,4731,0
9461,4731,4779,0
9441,4779,4799,0
9528,4799,4712,0
9487,4712,4753,0
9534,4753,4706,0
9446,4706,4794,0
9616,4794,4624,0
9447,4624,4793,0
9445,4793,4795,0
9498,4795,4742,0
9525,4742,4715,0
9407,4715,4833,0
