Current infected count,Newly infected count,Newly Susceptible,Total Immune
1,0,0,1424
27,26,0,1424
97,89,19,1424
1214,1171,54,1424
5292,4704,626,1424
11356,8704,2640,1424
8647,2884,5593,1424
9918,5593,4322,1424
9259,4322,4981,1424
9599,4981,4641,1424
9457,4641,4783,1424
9514,4783,4726,1424
9452,4726,4788,1424
9511,4788,4729,1424
9505,4729,4735,1424
9504,4735,4736,1424
9456,4736,4784,1424
9408,4784,4832,1424
9527,4832,4713,1424
9439,4713,4801,1424
9448,4801,4792,1424
9516,4792,4724,1424
9473,4724,4767,1424
9518,4767,4722,1424
9499,4722,4741,1424
9508,4741,4732,1424
9505,4732,4735,1424
9462,4735,4778,1424
9431,4778,4809,1424
9505,4809,4735,1424
9514,4735,4726,1424
9499,4726,4741,1424
9572,4741,4668,1424
9452,4668,4788,1424
9467,4788,4773,1424
9534,4773,4706,1424
9613,4706,4627,1424
9348,4627,4892,1424
9526,4892,4714,1424
9556,4714,4684,1424
9441,4684,4799,1424
9551,4799,4689,1424
9504,4689,4736,1424
9556,4736,4684,1424
9428,4684,4812,1424
9579,4812,4661,1424
9454,4661,4786,1424
9554,4786,4686,1424
9414,4686,4826,1424
9568,4826,4672,1424
9338,4672,4902,1424
9573,4902,4667,1424
9455,4667,4785,1424
9455,4785,4785,1424
9545,4785,4695,1424
9418,4695,4822,1424
9499,4822,4741,1424
9517,4741,4723,1424
9538,4723,4702,1424
9460,4702,4780,1424
9417,4780,4823,1424
9491,4823,4749,1424
9473,4749,4767,1424
9480,4767,4760,1424
9520,4760,4720,1424
9441,4720,4799,1424
9608,4799,4632,1424
9432,4632,4808,1424
9489,4808,4751,1424
9510,4751,4730,1424
9407,4730,4833,1424
9538,4833,4702,1424
9431,4702,4809,1424
9530,4809,4710,1424
9559,4710,4681,1424
9502,4681,4738,1424
9531,4738,4709,1424
9472,4709,4768,1424
9531,4768,4709,1424
9473,4709,4767,1424
9608,4767,4632,1424
9504,4632,4736,1424
9442,4736,4798,1424
9582,4798,4658,1424
9490,4658,4750,1424
9499,4750,4741,1424
9505,4741,4735,1424
9522,4735,4718,1424
9587,4718,4653,1424
9436,4653,4804,1424
9491,4804,4749,1424
9452,4749,4788,1424
9530,4788,4710,1424
9416,4710,4824,1424
9481,4824,4759,1424
9502,4759,4738,1424
9404,4738,4836,1424
9537,4836,4703,1424
9488,4703,4752,1424
9506,4752,4734,1424
9532,4734,4708,1424
9463,4708,4777,1424
9467,4777,4773,1424
9510,4773,4730,1424
9467,4730,4773,1424
9455,4773,4785,1424
9500,4785,4740,1424
9397,4740,4843,1424
9539,4843,4701,1424
9430,4701,4810,1424
9559,4810,4681,1424
9435,4681,4805,1424
9598,4805,4642,1424
9447,4642,4793,1424
9516,4793,4724,1424
9514,4724,4726,1424
9521,4726,4719,1424
9459,4719,4781,1424
9466,4781,4774,1424
9492,4774,4748,1424
9524,4748,4716,1424
9541,4716,4699,1424
9543,4699,4697,1424
9525,4697,4715,1424
9564,4715,4676,1424
9487,4676,4753,1424
9567,4753,4673,1424
9385,4673,4855,1424
9509,4855,4731,1424
9509,4731,4731,1424
9427,4731,4813,1424
9546,4813,4694,1424
9425,4694,4815,1424
9489,4815,4751,1424
9506,4751,4734,1424
9499,4734,4741,1424
9449,4741,4791,1424
9497,4791,4743,1424
9475,4743,4765,1424
9489,4765,4751,1424
9554,4751,4686,1424
9444,4686,4796,1424
9485,4796,4755,1424
9464,4755,4776,1424
9538,4776,4702,1424
9420,4702,4820,1424
9542,4820,4698,1424
9486,4698,4754,1424
9520,4754,4720,1424
9484,4720,4756,1424
9514,4756,4726,1424
9437,4726,4803,1424
9526,4803,4714,1424
9540,4714,4700,1424
9482,4700,4758,1424
9515,4758,4725,1424
9603,4725,4637,1424
9423,4637,4817,1424
9615,4817,4625,1424
9392,4625,4848,1424
9560,4848,4680,1424
9455,4680,4785,1424
9601,4785,4639,1424
9471,4639,4769,1424
9519,4769,4721,1424
9419,4721,4821,1424
9523,4821,4717,1424
9456,4717,4784,1424
9482,4784,4758,1424
9503,4758,4737,1424
9526,4737,4714,1424
9417,4714,4823,1424
9567,4823,4673,1424
9540,4673,4700,1424
9406,4700,4834,1424
9524,4834,4716,1424
9508,4716,4732,1424
9485,4732,4755,1424
9558,4755,4682,1424
9546,4682,4694,1424
9473,4694,4767,1424
